ShortName,time_diff,F030101A,F030201A,F030301A,F030401A,F030501A,F030601A,F030701A,F030801A,F030901A,F031001A,F031101A,F031201A,F031301A,F031401A,F031501A,F031601A,F031701A,F031801A,F031901A,F032001A,F032101B,F032201B,F032301B,F032401B,F032501B,F032601B,F032701B,F032801B,F032901B,F033001B,F033101B,F033201B,F033301B,F033401B,F033501A,label
国际实业,6,0.511754,0.040626,0.007812,0.68237,0.349206,0.417068,0.488246,0.095784,0.024046,0.95562,0.837288,0.544094,2.617985,8.741448,0.998993,0.355314,0.644686,0.001007,1.008858,-0.008858,0.203467,1.728051,0.999808,0.000192,0.008739,0.04181,0.271946,0.215106,1.065061,-0.065061,0.944434,0.055566,1.061446,-0.061446,0.896537,0
林州重机,6,0.398803,0.000555,0.083313,-0.627339,-0.250185,-1.4996,0.601197,0.367649,0.053546,0.943024,0.166834,-0.362969,0.767528,0.453787,0.778941,0.383198,0.616802,0.221059,0.951491,0.048509,-0.025357,-0.001367,0.955188,0.044812,0.016613,-0.139886,0.068051,0.076133,1.001895,-0.001895,1.0,0.0,1.001895,-0.001895,0.186065,1
香梨股份,6,0.168825,0.09293,0.009261,-0.102464,-0.017298,-0.025333,0.831175,0.173942,0.209813,0.790187,0.682841,-0.103484,4.67901,3.925681,0.586845,0.586845,0.413155,0.413155,1.0,0.0,-0.015776,-0.033971,1.053993,-0.053993,0.030458,0.030458,-0.005722,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.838998,1
东方电子,6,0.702851,0.276219,0.300534,0.017296,0.012156,0.039799,0.297149,0.232274,0.006796,0.993204,0.305444,-0.257104,1.303615,1.315019,0.994441,0.992067,0.007933,0.005559,0.98302,0.01698,14.729924,0.010031,-5.061382,6.061382,0.004007,-0.072042,-7.065832,-7.458884,1.000602,-0.000602,0.0,0.0,0.0,0.0,0.894566,1
海越能源,6,0.628045,0.300382,0.024976,0.768033,0.482359,0.597372,0.371955,0.126313,0.07737,0.92263,0.80747,0.360689,4.0266,6.392633,0.75669,0.526151,0.473849,0.24331,0.951225,0.048775,1.973822,0.253032,0.943303,0.056697,0.001763,0.007184,0.348055,0.262639,0.944519,0.055481,1.257792,-0.257792,0.930216,0.069784,0.854663,1
北方五环,6,0.271491,0.008149,0.250304,-1.210689,-0.328692,-2.161579,0.728509,0.471478,0.012181,0.987819,0.152061,-0.460283,0.595586,0.322519,0.707814,0.41169,0.58831,0.292186,0.966509,0.033491,-0.010082,0.022309,0.392976,0.607024,0.03969,0.047129,-0.001451,-0.000229,0.998294,0.001706,0.0,0.0,0.0,0.0,0.225788,1
先锋新材,9,0.57423,0.032298,0.204141,0.743047,0.42668,0.508157,0.42577,0.350528,0.057115,0.942885,0.839662,-0.006358,2.431903,2.395421,0.920244,0.483214,0.516786,0.079756,1.000263,-0.000263,11.318461,0.0,-0.984223,1.984223,0.006444,0.006816,0.429301,0.023456,1.06822,-0.06822,1.0,0.0,1.06822,-0.06822,0.909293,0
昂利康,9,0.699465,0.441038,0.11014,0.650867,0.455259,0.609438,0.300535,0.1411,0.019335,0.980665,0.747015,0.23308,4.11957,5.294237,0.965298,0.965298,0.034702,0.034702,0.955267,0.044733,5.144571,-0.080533,0.99981,0.00019,0.013857,0.026624,0.208866,0.10016,0.896272,0.103728,1.0,0.0,0.896272,0.103728,0.857763,0
吉峰农机,9,0.85044,0.031809,0.248187,0.059861,0.050908,0.258135,0.14956,0.058353,0.027923,0.927626,0.197216,-0.151258,3.294232,3.379677,0.995948,0.732209,0.267791,0.004052,0.528003,0.471997,22.318418,0.009759,0.969051,0.030949,0.001003,0.004975,0.748628,0.597693,-1.55018,2.55018,1.0,0.0,-1.55018,2.55018,0.16393,0
雅化集团,9,0.513849,0.0819,0.095258,0.695618,0.357443,0.449108,0.486151,0.19617,0.081321,0.862057,0.795895,0.238595,2.886869,4.057162,0.766302,0.623748,0.376252,0.233698,0.945016,0.054984,2.137373,0.055682,0.996166,0.003834,0.004878,0.035524,0.279518,0.241136,0.943416,0.056584,1.140041,-0.140041,0.950496,0.049504,0.842409,0
淳中科技,9,0.725029,0.189886,0.162255,0.891389,0.646283,0.853565,0.274971,0.227804,0.007205,0.992795,0.757157,0.242055,3.8846,3.323717,0.324268,0.324268,0.675732,0.675732,1.0,0.0,3.622191,0.175769,0.999991,9e-06,0.015883,0.049719,0.28893,0.196631,1.0,0.0,1.0,0.0,1.0,0.0,0.821877,0
纵横国际,9,0.752845,0.411107,0.229423,0.223854,0.168527,0.452697,0.247155,0.128871,0.022591,0.977409,0.372274,-0.122816,1.931926,2.888731,0.930848,0.294776,0.705224,0.069152,0.903089,0.096911,0.280597,-0.118371,0.993243,0.006757,0.006521,0.018014,-0.021299,-0.013589,0.983917,0.016083,0.0,0.0,0.0,0.0,0.357001,1
精伦电子,9,0.589223,0.162225,0.135889,0.734806,0.432965,0.515211,0.410777,0.310376,0.083039,0.916961,0.840364,-0.051225,2.716415,2.707566,0.978841,0.489202,0.510798,0.021159,1.0,0.0,-1.092966,-0.160577,1.285144,-0.285144,0.00879,0.001861,-0.006895,0.025666,1.0,0.0,0.0,0.0,0.0,0.0,0.901649,1
古井贡A,9,0.616966,0.073203,0.142148,0.376594,0.232346,0.389476,0.383034,0.260272,0.033522,0.966478,0.59656,0.083313,1.876306,2.292062,0.953353,0.817229,0.182771,0.046647,0.997418,0.002582,10.304938,0.0,0.996228,0.003772,0.112297,0.228558,5.499344,2.797359,0.999909,9.1e-05,0.0,0.0,0.0,0.0,0.887385,1
天然碱,9,0.36076,0.014621,0.224747,-1.011494,-0.364906,-1.46098,0.63924,0.532005,0.008929,0.991071,0.249768,-0.096152,0.475259,0.469484,0.967256,0.324152,0.675848,0.032744,0.643725,0.356275,-1.658554,-0.053687,0.274273,0.725727,0.010634,0.036517,-0.203956,-0.14456,1.074981,-0.074981,0.0,0.0,0.0,0.0,0.212034,1
